"","state","district","stunting_range","uw_range","wasting_range","rural_population_percapita","urban_population_percapita","total_population","x12_women_who_are_literate_percent","x13_men_who_are_literate_percent"
"1","ANDAMAN AND NICOBAR","NICOBARS",0,0,0,1,0,36842,78.8,91.3
"2","ANDAMAN AND NICOBAR","NORTH AND MIDDLE ANDAMAN",0.5,0.5,1,0.974042823186265,0.0259571768137352,105597,77.9,82.8
"3","ANDAMAN AND NICOBAR","SOUTH ANDAMANS",0,0,0.5,0.408978676587918,0.591021323412082,238142,86.9,91
"4","ANDHRA PRADESH","SRIKAKULAM",0.5,0.5,0.5,0.838444475519715,0.161555524480285,2703114,59.6,79.7
"5","ANDHRA PRADESH","VIZIANAGARAM",0.5,0.5,0.5,0.790609322176318,0.209390677823682,2344474,54.3,73.4
"6","ANDHRA PRADESH","VISAKHAPATANAM",0.5,0.5,0.5,0.525491255396404,0.474508744603596,4290589,64,82.8
"7","ANDHRA PRADESH","EAST GODAVARI",0.5,0.5,0.5,0.745072459944093,0.254927540055907,5154296,71.7,83.3
"8","ANDHRA PRADESH","WEST GODAVARI",0.5,0.5,0,0.794568457030109,0.205431542969891,3936966,68.1,65.9
"9","ANDHRA PRADESH","KRISHNA",0,0.5,0.5,0.591875677104386,0.408124322895614,4517398,72.3,88.4
"10","ANDHRA PRADESH","GUNTUR",0,0.5,0.5,0.661865541910053,0.338134458089947,4887813,60.4,76.6
"11","ANDHRA PRADESH","PRAKASAM",0.5,0.5,0.5,0.804387881727697,0.195612118272303,3397448,54.6,74
"12","ANDHRA PRADESH","SPSR NELLORE",0.5,0.5,0.5,0.710607894499751,0.289392105500249,2963557,61.4,80.1
"13","ANDHRA PRADESH","KADAPA",0.5,0.5,0.5,0.660314820384885,0.339685179615115,2882469,63.6,77
"14","ANDHRA PRADESH","KURNOOL",1,0.5,0.5,0.716468116274899,0.283531883725101,4053463,51.8,70.8
"15","ANDHRA PRADESH","ANANTAPUR",1,0.5,0.5,0.719267470819485,0.280732529180515,4081148,58.2,86.5
"16","ANDHRA PRADESH","CHITTOOR",0.5,0.5,0.5,0.704991106988297,0.295008893011703,4174064,67.7,87.5
"17","ARUNACHAL PRADESH","LOWER DIBANG VALLEY",0,0,0.5,0.789404585798817,0.210595414201183,54080,64.55,80.72
"18","ARUNACHAL PRADESH","LOHIT",0.5,0.5,0.5,0.777459067016181,0.222540932983819,145726,62.49,73
"19","ARUNACHAL PRADESH","ANJAW",0,0,0.5,0.953607029810554,0.0463929701894458,21167,63.66,84.65
"20","ASSAM","KOKRAJHAR",0.5,0.5,0.5,NA,NA,886999,64.5,76.1
"21","ASSAM","DHUBRI",1,0.5,0.5,0.89549818443736,0.10450181556264,1949258,58.8,68
"22","ASSAM","GOALPARA",1,0.5,0.5,0.863058591545384,0.136941408454616,1008183,70.7,72
"23","ASSAM","BARPETA",1,0.5,0.5,0.912995343707155,0.0870046562928446,1693622,67.4,83.9
"24","ASSAM","MARIGAON",0.5,0.5,0,0.923442407378975,0.0765575926210254,957423,73,79.3
"25","ASSAM","NAGAON",0.5,0.5,0,0.8691344331404,0.1308655668596,2823768,73.3,80.2
"26","ASSAM","SONITPUR",0.5,0.5,0.5,0.909649136483881,0.0903508635161191,1924110,68.3,87.7
"27","ASSAM","LAKHIMPUR",0.5,0.5,0,0.912359891261897,0.0876401087381026,1042137,79,85.1
"28","ASSAM","DHEMAJI",0.5,0,0,0.929627346301665,0.0703726536983355,686133,73.9,87.2
"29","ASSAM","TINSUKIA",0.5,0.5,0,0.800634672486255,0.199365327513745,1327929,59.1,77.7
"30","ASSAM","DIBRUGARH",0.5,0.5,0.5,0.816237979092763,0.183762020907237,1326335,72.6,81.8
