,state,district,stunting_range,uw_range,wasting_range,District_Name
1,ANDAMAN AND NICOBAR,NICOBARS,0,0,0,NICOBARS
2,ANDAMAN AND NICOBAR,NORTH  & MIDDLE ANDAMAN,0.5,0.5,1,NORTH AND MIDDLE ANDAMAN
3,ANDAMAN AND NICOBAR,SOUTH ANDAMAN,0,0,0.5,SOUTH ANDAMANS
4,ANDHRA PRADESH,SRIKAKULAM,0.5,0.5,0.5,SRIKAKULAM
5,ANDHRA PRADESH,VIZIANAGARAM,0.5,0.5,0.5,VIZIANAGARAM
6,ANDHRA PRADESH,VISAKHAPATNAM,0.5,0.5,0.5,VISAKHAPATANAM
7,ANDHRA PRADESH,EAST GODAVARI,0.5,0.5,0.5,EAST GODAVARI
8,ANDHRA PRADESH,WEST GODAVARI,0.5,0.5,0,WEST GODAVARI
9,ANDHRA PRADESH,KRISHNA,0,0.5,0.5,KRISHNA
10,ANDHRA PRADESH,GUNTUR,0,0.5,0.5,GUNTUR
11,ANDHRA PRADESH,PRAKASAM,0.5,0.5,0.5,PRAKASAM
12,ANDHRA PRADESH,SRI POTTI SRIRAMULU NELLORE,0.5,0.5,0.5,SPSR NELLORE
13,ANDHRA PRADESH,Y.S.R.,0.5,0.5,0.5,KADAPA
14,ANDHRA PRADESH,KURNOOL,1,0.5,0.5,KURNOOL
15,ANDHRA PRADESH,ANANTAPUR,1,0.5,0.5,ANANTAPUR
16,ANDHRA PRADESH,CHITTOOR,0.5,0.5,0.5,CHITTOOR
17,ARUNACHAL PRADESH,LOWER DIBANG VALLEY,0,0,0.5,LOWER DIBANG VALLEY
18,ARUNACHAL PRADESH,LOHIT,0.5,0.5,0.5,LOHIT
19,ARUNACHAL PRADESH,ANJAW,0,0,0.5,ANJAW
20,ASSAM,KOKRAJHAR,0.5,0.5,0.5,KOKRAJHAR
21,ASSAM,DHUBRI,1,0.5,0.5,DHUBRI
22,ASSAM,GOALPARA,1,0.5,0.5,GOALPARA
23,ASSAM,BARPETA,1,0.5,0.5,BARPETA
24,ASSAM,MORIGAON,0.5,0.5,0,MARIGAON
25,ASSAM,NAGAON,0.5,0.5,0,NAGAON
26,ASSAM,SONITPUR,0.5,0.5,0.5,SONITPUR
27,ASSAM,LAKHIMPUR,0.5,0.5,0,LAKHIMPUR
28,ASSAM,DHEMAJI,0.5,0,0,DHEMAJI
29,ASSAM,TINSUKIA,0.5,0.5,0,TINSUKIA
30,ASSAM,DIBRUGARH,0.5,0.5,0.5,DIBRUGARH
31,ASSAM,SIVASAGAR,0.5,0.5,0,SIVASAGAR
32,ASSAM,JORHAT,0.5,0,0,JORHAT
33,ASSAM,GOLAGHAT,0.5,0.5,0,GOLAGHAT
34,ASSAM,KARBI ANGLONG,0.5,0.5,0.5,KARBI ANGLONG
35,ASSAM,DIMA HASAO,0.5,0,0,DIMA HASAO
36,ASSAM,CACHAR,0.5,0.5,1,CACHAR
37,ASSAM,KARIMGANJ,1,0.5,0.5,KARIMGANJ
38,ASSAM,HAILAKANDI,0.5,0.5,0.5,HAILAKANDI
39,ASSAM,BONGAIGAON,0.5,0.5,0.5,BONGAIGAON
40,ASSAM,CHIRANG,1,0.5,0,CHIRANG
41,ASSAM,KAMRUP,0.5,0.5,0.5,KAMRUP
42,ASSAM,KAMRUP METROPOLITAN,0,0.5,0,KAMRUP METRO
43,ASSAM,NALBARI,0.5,0,0.5,NALBARI
44,ASSAM,BAKSA,0.5,0.5,0,BAKSA
45,ASSAM,DARRANG,1,0.5,0.5,DARRANG
46,ASSAM,UDALGURI,0.5,0.5,0.5,UDALGURI
47,BIHAR,PASHCHIM CHAMPARAN,1,0.5,0.5,PASHCHIM CHAMPARAN
48,BIHAR,PURBA CHAMPARAN,1,1,0.5,PURBI CHAMPARAN
49,BIHAR,SHEOHAR,1,1,0,SHEOHAR
50,BIHAR,SITAMARHI,1,1,0.5,SITAMARHI
51,BIHAR,MADHUBANI,1,1,0.5,MADHUBANI
52,BIHAR,SUPAUL,1,1,0.5,SUPAUL
53,BIHAR,ARARIA,1,1,0.5,ARARIA
54,BIHAR,KISHANGANJ,1,1,0.5,KISHANGANJ
55,BIHAR,PURNIA,1,1,0.5,PURNIA
56,BIHAR,KATIHAR,1,1,0.5,KATIHAR
57,BIHAR,MADHEPURA,1,1,0.5,MADHEPURA
58,BIHAR,SAHARSA,1,1,0.5,SAHARSA
59,BIHAR,DARBHANGA,1,1,0.5,DARBHANGA
60,BIHAR,MUZAFFARPUR,1,1,0.5,MUZAFFARPUR
