State,District,Residence,Back,Code,Stunting Range (D),UW Range (D),Wasting Range (D),1. Population (female) age 6+ years who ever attended school (%),10. Households using iodized salt (%),11. Households with any usual member covered by a health scheme or health insurance (%),12. Women who are literate (%),13. Men who are literate (%),14. Women with 10 or more years of schooling (%),15. Women age 20-24 years married before age 18 years (%),16. Men age 25-29 years married before age 21 years (%),17. Women age 15-19 years who were already mothers or pregnant at the time of the survey (%),18. Any method (%),19. Any modern method,2. Population below age 15 years (%),20. Female sterilization (%),21. Male sterilization (%),22. Iud/Ppiud (%),23. Pill (%),24. Condom (%),25. Total unmet need (%),26. Unmet need for spacing (%),27. Health worker ever talked to female non-users about family planning5 (%),28. Current users ever told about side effects of current method (%),29. Mothers who had antenatal check-up in the first trimester (%),3. Sex ratio of the total population (females per 1000 males),30. Mothers who had at least 4 antenatal care visits (%),31. Mothers whose last birth was protected against neonatal tetanus6 (%),32. Mothers who consumed iron folic acid for 100 days or more when they were pregnant (%),33. Mothers who had full antenatal care7 (%),34. Registered pregnancies for which the mother received Mother and Child Protection (MCP) card (%),35. Mothers who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (%,36. Mothers who received financial assistance under Janani Suraksha Yojana (JSY) for births delivered in an institution (%),37. Average out of pocket expenditure per delivery in public health facility (Rs.),38. Children born at home who were taken to a health facility for check-up within 24 hours of birth (%),39. Children who received postnatal care from a doctor/nurse/LHV/ANM/midwife/other health personnel within 2 days of delivery (,4. Sex ratio at birth for children born in the last five years (females per 1000 males),40. Institutional births (%),41. Institutional births in public facility (%),42. Home delivery conducted by skilled health personnel (out of total deliveries) (%),43. Births assisted by a doctor/nurse/LHV/ANM/other health personnel (%),44. Births delivered by caesarean section (%),45. Births in a private health facility delivered by caesarean section (%),46. Births in a public health facility delivered by caesarean section (%),47. Children age 12-23 months fully immunized (BCG measles and 3 doses each of polio/DPT) (%),48. Children age 12-23 months who have received BCG (%),49. Children age 12-23 months who have received 3 doses of polio vaccine (%),5. Children under age 5 years whose birth was registered (%),50. Children age 12-23 months who have received 3 doses of DPT vaccine (%),51. Children age 12-23 months who have received measles vaccine (%),52. Children age 12-23 months who have received 3 doses of Hepatitis B vaccine (%),53. Children age 9-59 months who received a vitamin A dose in last 6 months (%),54. Children age 12-23 months who received most of the vaccinations in public health facility (%),55. Children age 12-23 months who received most of the vaccinations in private health facility (%),56. Prevalence of diarrhoea (reported) in the last 2 weeks preceding the survey (%),57. Children with diarrhoea in the last 2 weeks who received oral rehydration salts (ORS) (%),58. Children with diarrhoea in the last 2 weeks who received zinc (%),59. Children with diarrhoea in the last 2 weeks taken to a health facility (%),6. Households with electricity (%),60. Prevalence of symptoms of acute respiratory infection (ARI) in the last 2 weeks preceding the survey (%),61. Children with fever or symptoms of ARI in the last 2 weeks preceding the survey taken to a health facility (%),62. Children under age 3 years breastfed within one hour of birth8 (%),63. Children under age 6 months exclusively breastfed9 (%),64. Children age 6-8 months receiving solid or semi-solid food and breastmilk9 (%),65. Breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),66. Non-breastfeeding children age 6-23 months receiving an adequate diet9 10 (%),67. Total children age 6-23 months receiving an adequate diet9 10 (%),68. Children under 5 years who are stunted11 (%),69. Children under 5 years who are wasted11 (%),7. Households with an improved drinking-water source1 (%),70. Children under 5 years who are severely wasted12 (%),71. Children under 5 years who are underweight11 (%),72. Women whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),73. Men whose Body Mass Index (BMI) is below normal (BMI <18.5 kg/m2) (%),74. Women who are overweight or obese (BMI >=25.0 kg/m2) (%),75. Men who are overweight or obese (BMI >=25.0 kg/m2) (%),76. Children age 6-59 months who are anaemic (<11.0 g/dl) (%),77. Non-pregnant women age 15-49 years who are anaemic (<12.0 g/dl) (%),78. Pregnant women age 15-49 years who are anaemic (<11.0 g/dl) (%),79. All women age 15-49 years who are anaemic (%),8. Households using improved sanitation facility2 (%),80. Men age 15-49 years who are anaemic (<13.0 g/dl) (%),81. Blood sugar level - high (>140 mg/dl) (%),82. Blood sugar level - very high (>160 mg/dl) (%),83. Blood sugar level - high (>140 mg/dl) (%),84. Blood sugar level - very high (>160 mg/dl) (%),85. Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),86. Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),87. Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),88. Slightly above normal (Systolic 140-159 mm of Hg and/or Diastolic 90-99 mm of Hg) (%),89. Moderately high (Systolic 160-179 mm of Hg and/or Diastolic 100-109 mm of Hg) (%),9. Households using clean fuel for cooking3 (%),90. Very high (Systolic ≥180 mm of Hg and/or Diastolic ≥110 mm of Hg) (%),91. Cervix (%),92. Breast (%),93. Oral cavity (%),Calculation1,Households surveyed,Men age 15-49 years interviewed,Number of Records,Rural population,Rural population in  the age group of 0-6  years,Total population,Total population in  the age group of 0-6  years,Urban population,Urban population in  the age group of 0-6  years,Women age 15-49 years interviewed
Andaman and Nicobar,NICOBARS,Total,Back,3501,Low (< 25%),Low (< 20%),Low (< 15%),77.2,99.7,4.3,78.8,91.3,43.7,7.3,0,3.8,38,37.8,25.4,35.6,0,0,1.1,1.2,18,14.2,48.1,87.6,62,957,64.9,92.4,19,16.6,100,74,0.6,1787,0,33,1060,96.1,96.1,2.9,98,4.6,0,4.8,45.5,61.1,56.8,99.3,55.9,46.9,44.4,71.6,100,0,5.1,0,0,0,99.4,1.4,0,34.9,0,0,10.2,0,9,20.3,7.4,99.8,2.3,10.5,4.5,4.6,18.7,31.7,50.5,54.5,0,55.1,86.8,26.5,2.5,1.1,4,2.2,18.6,2.1,1,36.7,4.6,39.3,1.7,8.3,3,9.3,FALSE,813,164,1,36842,4389,36842,4389,0,0,1019
Andaman and Nicobar,NORTH AND MIDDLE ANDAMAN,Total,Back,3502,Medium (25% - 40%),Medium (20% - 40%),High (> 25%),83.8,99.4,3.2,77.9,82.8,39.2,25.9,0,6.5,66.9,62,22.6,50,0,3.9,2.6,5.5,12.2,6.2,32,75.3,83.7,951,95.2,96.2,45.5,43.5,99.4,78.3,0.5,1082,0,27.1,975,95,91.5,0.5,95.5,14.3,0,12.6,89.1,95.4,93.6,99.6,95.4,90.9,93.6,59.8,100,0,4.9,0,0,0,92.5,0.4,0,43.9,0,0,18.3,0,20.7,32.5,31.7,90.3,18.5,33.5,14.5,8.4,30,43.2,47.3,65.1,51.5,64.7,49.8,24.8,9,4.4,19.8,10.7,5.9,1.1,0.2,13.9,2.3,35.5,2.4,10.6,12.4,21.2,FALSE,796,128,1,102856,11579,105597,11828,2741,249,842
Andaman and Nicobar,SOUTH ANDAMANS,Total,Back,3503,Low (< 25%),Low (< 20%),Medium (15% - 25%),85.8,99.2,6.8,86.9,91,53.2,14.7,0,3.9,45.6,43.9,24.2,36.3,0,1.6,2.1,3.9,16.5,8.4,37.4,56.1,62.5,989,93.4,89.9,67.8,61.6,96.7,73.7,1.8,1279,0,20.4,794,97.4,92.2,1,98.3,23.1,0,20.2,69.1,86.6,82.3,97,81,73.1,82.3,73.3,91.4,8.6,5.5,0,0,0,98.7,1.9,79,41.7,0,0,11.5,0,11.9,20.1,15.6,95.5,4,18.5,13.4,9.4,33.7,36.5,49.6,67,0,67,83.6,34.3,10.1,5.9,16.4,9.8,6.5,1.3,0.8,22.4,3.6,77.3,4.6,28.6,13.2,25.3,FALSE,804,119,1,97395,10447,238142,24661,140747,14214,950
Andhra Pradesh,SRIKAKULAM,Total,Back,3701,Medium (25% - 40%),Medium (20% - 40%),Medium (15% - 25%),58.4,80,82.2,59.6,79.7,34.7,22.8,0,11.7,67.7,67.5,22.2,66.1,0.7,0.2,0,0.3,6.7,5,15.7,17.8,82.2,1028,72.7,99.4,65.7,42.1,96.9,89.5,23.9,2938,0,23.3,933,91.2,42.3,6.4,97.6,41.4,55.5,33.7,59.2,100,68.4,89.3,88.5,88.9,66.1,89.7,100,0,5.9,0,0,0,97.3,0.4,88.1,27.5,0,0,4.9,0,3.8,28,15.6,75.7,3.9,28.7,20.5,15.2,24.4,18.9,70.6,72.1,0,71.8,33.2,29.3,8.3,3.5,12.4,5,4.9,1.1,0.9,11,0.9,38,2.2,37.4,6.9,9.1,FALSE,784,104,1,2266411,238331,2703114,281037,436703,42706,815
Andhra Pradesh,VIZIANAGARAM,Total,Back,3702,Medium (25% - 40%),Medium (20% - 40%),Medium (15% - 25%),56.4,69.1,79.9,54.3,73.4,32.9,29,0,17.8,71.6,71.6,23.7,70,1.4,0.2,0,0,3.3,1.9,24,46.1,79.8,1066,70.4,93.7,55,42.5,91.1,77.3,26.6,2015,0,29.2,864,90.7,50.7,5.1,95.4,34.9,58.3,22.8,49.3,100,60.3,88,88.1,92.6,56.7,78.5,94.3,5.7,7.2,0,0,0,98.1,1.2,84.3,40.2,62.3,0,7.2,0,10.5,36.8,18.8,89.5,4.7,34.4,25.8,19.4,22.4,32.1,78.7,75.7,0,75.5,31.9,44.3,7.4,4.1,12,9.8,6.4,1.7,0.4,15.9,2.7,48.1,0,38,3.8,13.7,FALSE,799,98,1,1853563,194859,2344474,241657,490911,46798,850
Andhra Pradesh,VISAKHAPATANAM,Total,Back,3703,Medium (25% - 40%),Medium (20% - 40%),Medium (15% - 25%),61.3,90.4,70,64,82.8,39.7,29.8,0,9.5,69.2,69,23.3,66.1,2.3,0.3,0.4,0,5.5,3.2,15.5,28.6,78.6,1047,82.5,96.2,56.3,44.8,94,74,22.5,2143,0,41.1,1097,85.5,46.5,1.9,82.8,35.7,60.5,26.1,66,100,76,84.5,93.3,89.3,76.5,63.1,92.3,7.7,8.8,0,0,0,98.5,0,0,58.8,0,0,6.1,0,10.2,30.1,17.2,84.3,1.5,33.1,18.9,12.1,28.8,29,64.5,66.6,0,66.4,55.2,28.2,6.6,4.6,7.4,2.9,7.1,1.7,1.4,9,2.4,56.1,1.7,16.6,2.6,9.3,FALSE,768,107,1,2254667,258267,4290589,452213,2035922,193946,772
Andhra Pradesh,EAST GODAVARI,Total,Back,3704,Medium (25% - 40%),Medium (20% - 40%),Medium (15% - 25%),69,82.3,70.9,71.7,83.3,35.5,30.3,0,12.8,72.2,72.2,21.8,70.1,1.5,0,0.2,0.3,3.4,1.5,20.6,30,85.5,927,77.2,94.6,56.6,44.1,90.8,83,8.8,1843,0,53.7,1008,96.9,41.6,2.2,91.7,44.6,63.9,22.2,60.3,96.7,70.3,84.3,77.2,82.4,59.1,80.4,79.6,20.4,12.3,52.3,13.2,81.4,99.1,1,0,42.9,0,0,6.3,0,6.7,27.7,15.3,82.1,3,27.1,15.9,12.8,36.4,28,63.1,64.9,56.2,64.6,56.8,34.3,7.1,4.8,12.9,9.4,9,2.7,0.6,11.4,8,50.3,2.9,40.1,5,19.7,FALSE,803,125,1,3840324,395078,5154296,522054,1313972,126976,802
Andhra Pradesh,WEST GODAVARI,Total,Back,3705,Medium (25% - 40%),Medium (20% - 40%),Low (< 15%),68.5,85.1,79,68.1,65.9,35.8,30.2,0,7.9,76.7,76.7,23,75.7,0,0.5,0.2,0.2,3.4,1.8,8.9,22.4,84.5,1020,71.5,89.9,44.8,31.3,92.1,86.3,19.9,3118,0,20.7,834,97.2,27.3,1.1,93.3,60.8,71.7,38.9,77.7,97,77.7,87.3,97,94.2,68.6,73.9,85.2,14.8,6.6,0,0,0,98.7,0.8,0,34.2,0,0,3.6,0,2.4,28.5,14.7,74.3,3.2,30.1,14.5,15.3,40,41.3,55.1,60.3,0,59.9,61.2,19.2,7.6,4.9,9.9,6.8,6.9,2.4,0.9,14.8,2.2,62.3,0,35.2,6.2,17.1,FALSE,787,100,1,3128189,309636,3936966,382887,808777,73251,736
Andhra Pradesh,KRISHNA,Total,Back,3706,Low (< 25%),Medium (20% - 40%),Medium (15% - 25%),71.3,90.5,71.5,72.3,88.4,38.8,31.9,0,8.9,74.8,74.8,22.1,73.2,0.8,0.1,0.1,0.6,4.6,3.5,18.1,6.5,89,1037,88.2,99,70.1,60.7,96.3,92.5,18.4,2183,0,17.9,900,96.4,36.8,2,95.1,50.8,66.2,30.6,74.1,100,74.1,83.6,97.2,100,80.8,54.9,97.2,2.8,5.9,0,0,0,99,1.3,0,37.7,0,0,7.4,0,6.2,22.6,20.7,70,5.1,27.7,13.5,12.4,45.5,46.6,58.1,59.7,0,59.4,63.2,22.6,12.5,7.8,4.9,3,9.1,1.5,0.6,8.6,0,73.3,2,42.5,10.3,12.7,FALSE,798,112,1,2673738,258921,4517398,435884,1843660,176963,836
Andhra Pradesh,GUNTUR,Total,Back,3707,Low (< 25%),Medium (20% - 40%),Medium (15% - 25%),60.3,82.5,74.5,60.4,76.6,30,39.1,0,13.6,74,73.5,23,72.9,0,0.2,0.2,0.1,6.1,4.7,28.7,30.7,82.4,1015,68.4,94.6,36.7,32.6,93.9,80.8,24.7,1267,0,32.3,637,97.5,35.2,0,95.8,51.1,58,42.6,61.7,94.3,70.4,90.6,86.2,87.7,68.9,84.9,90.7,9.3,9.7,0,0,0,99.5,0,0,44.3,0,0,11.8,0,10.9,22.1,17.9,74.9,9.8,29.1,11.3,15.4,45.1,39,68.1,59,33.6,57.9,63.2,24.9,9.3,5.6,19,11.1,8.7,1.6,0.9,8,3.5,79.7,0,36.7,3.9,13.3,FALSE,789,104,1,3235075,332761,4887813,495729,1652738,162968,761
