"","districts.District_Name"
"1","GILGIT"
"2","TRIBAL TERRITORY"
"3","GILGIT WAZARAT"
"4","CHILAS"
"5","MUZAFFARABAD"
"6","LEH (LADAKH)"
"8","BARAMULA"
"9","PUNCH"
"10","ANANTNAG"
"11","RIASI"
"12","UDHAMPUR"
"13","MIRPUR"
"14","JAMMU"
"15","GURDASPUR"
"16","AMRITSAR"
"17","KAPURTHALA"
"18","MOGA"
"19","FARIDKOT"
"20","MUKTSAR"
"21","BATHINDA"
"22","GANGANAGAR"
"23","CHAMBA"
"24","KATHUA"
"25","LAHUL & SPITI"
"26","KANGRA"
"27","KINNAUR"
"28","KULLU"
"29","MANDI"
"30","HOSHIARPUR"
"31","HAMIRPUR"
"32","UNA"
"33","JALANDHAR"
"34","BILASPUR"
"35","SHIMLA"
"36","RUPNAGAR"
"37","SOLAN"
"39","UTTARKASHI"
"40","NAWAN SHAHR"
"41","LUDHIANA"
"42","DEHRA DUN"
"43","SIRMAUR"
"44","PANCHKULA"
"45","RUDRAPRAYAG"
"46","FATEHGARH SAHIB"
"47","SANGRUR"
"48","CHANDIGARH"
"49","PITHORAGARH"
"50","PATIALA"
"51","AMBALA"
"52","TEHRI GARHWAL"
"53","SAHARANPUR"
"54","YAMUNANAGAR"
"55","BAGESHWAR"
"56","GARHWAL"
"57","KURUKSHETRA"
"59","MANSA"
"60","KAITHAL"
"61","HARIDWAR"
"62","JAISALMER"
"63","FIROZPUR"
"64","HANUMANGARH"
"65","SIRSA"
"66","CHURU"
"67","BIKANER"
"68","SIKAR"
"69","NAGAUR"
"70","JODHPUR"
"71","JAIPUR"
"72","PALI"
"73","BARMER"
"74","UDAIPUR"
"75","BHILWARA"
"77","RAJ SAMAND"
"78","AJMER"
"81","JALOR"
"82","SIROHI"
"84","CHAMOLI"
"85","KARNAL"
"86","ALMORA"
"88","JIND"
"89","FATEHABAD"
"90","MUZAFFARNAGAR"
"91","HISAR"
"92","BIJNOR"
"93","NAINI TAL"
"94","PANIPAT"
"95","CHAMPAWAT"
"96","UDHAM SINGH NAGAR"
"97","BAGHPAT"
"98","MEERUT"
"99","SONIPAT"
"100","MORADABAD"
"101","ROHTAK"
"102","BHIWANI"
"103","JYOTIBA PHULE NAGAR"
"104","RAMPUR"
"105","BAREILLY"
"106","DELHI"
"107","GAUTAMBUDH NAGAR"
"108","JHAJJAR"
"109","GHAZIABAD"
"110","PILIBHIT"
"111","BULANDSHAHR"
"112","FARIDABAD"
"113","GURGAON"
"114","BADAUN"
"115","MAHENDRAGARH"
"116","REWARI"
"117","JHUNJHUNUN"
"118","SHAHJAHANPUR"
"119","ALIGARH"
"120","ALWAR"
"121","MATHURA"
"122","ETAH"
"123","FARRUKHABAD"
"124","BHARATPUR"
"125","HATHRAS"
"126","HARDOI"
"127","MAINPURI"
"128","AGRA"
"129","FIROZABAD"
"130","KANNAUJ"
"131","KARAULI"
"133","DAUSA"
"134","ETAWAH"
"135","AURAIYA"
"136","KANPUR DEHAT"
"137","MORENA"
"138","BHIND"
"139","DHAULPUR"
"140","SAWAI MADHOPUR"
"141","TONK"
"143","JALAUN"
"144","GWALIOR"
"145","DATIA"
"148","SHEOPUR"
"149","JHANSI"
"151","KOTA"
"152","SHIVPURI"
"153","BUNDI"
"155","CHHATARPUR"
"156","BARAN"
"157","MAHOBA"
"158","TIKAMGARH"
"159","LALITPUR"
"161","NIMACH"
"162","CHITTAURGARH"
"163","GUNA"
"164","ASHOKNAGAR"
"166","KHERI"
"167","BAHRAICH"
"168","SHRAWASTI"
"169","BALRAMPUR"
"170","SITAPUR"
"171","SIDDHARTH NAGAR"
"172","MAHARAJGANJ"
"173","PASHCHIM CHAMPARAN"
"174","GONDA"
"176","BARA BANKI"
"177","GORAKHPUR"
"178","LUCKNOW"
"179","SANT KABIR NAGAR"
"180","BASTI"
"181","PURBA CHAMPARAN"
"182","UNNAO"
"183","KUSHINAGAR"
"184","FAIZABAD"
"185","AMBEDKARNAGAR"
"186","GOPALGANJ"
"187","DEORIA"
"188","SULTANPUR"
"189","RAE BARELI"
"190","AZAMGARH"
"192","MUZAFFARPUR"
"193","KANPUR NAGAR"
"194","MAU"
"195","SIWAN"
"196","CHHAPRA"
"197","FATEHPUR"
"198","JAUNPUR"
"199","BALLIA"
"200","PRATAPGARH"
"201","BANDA"
"202","KAUSHAMBI"
"203","GHAZIPUR"
"204","PATNA"
"205","BHOJPUR"
"206","ALLAHABAD"
"207","BUXAR"
"208","CHITRAKOOT"
"209","VARANASI"
"211","SANT RAVI DAS NAGAR(BHADOHI)"
"212","CHANDAULI"
"213","BHABHUA"
"214","ROHTAS"
"215","JHANABAD"
"216","MIRZAPUR"
"217","PANNA"
"219","AURANGABAD"
"222","SATNA"
"223","REWA"
"225","GAYA"
"226","NORTH"
"227","WEST"
"228","EAST"
"229","SOUTH"
"230","DARJILING"
"231","JALPAIGURI"
"233","KOKRAJHAR"
"234","SITAMARHI"
"235","KOCHBIHAR"
"236","WEST DINAJPUR"
"237","KISHANGANJ"
"238","MADHUBANI"
"240","SUPAUL"
"245","SHEOHAR"
"248","ARARIA"
"251","DARBHANGA"
"252","DHUBURI"
"261","SAHARSA"
"262","MADHEPURA"
"263","PURNIA"
"265","SAMASTIPUR"
"266","VAISHALI"
"267","WEST GARO HILLS"
"268","KHAGARIA"
"269","DAKSHIN DINAJPUR"
"270","BEGUSARAI"
"272","KATIHAR"
"273","BHAGALPUR"
"274","MUNGER"
"275","LAKHISARAI"
"276","NALANDA"
"277","SAHIBGANJ"
"278","MALDAH"
"280","SHEIKHPURA"
"281","GODDA"
"282","BANKA"
"283","NAWADA"
"284","JAMUI"
"285","UPPER SIANG"
"287","WEST SIANG"
"288","EAST SIANG"
"289","UPPER SUBANSIRI"
"290","KURUNG KUMEY"
"291","EAST KAMENG"
"292","TAWANG"
"293","LOWER SUBANSIRI"
"294","DHEMAJI"
"295","PAPUMPARE"
"296","LAKHIMPUR"
"297","WEST KAMENG"
"298","DIBRUGARH"
"299","JORHAT"
"300","SIBSAGAR"
"301","SONITPUR"
"302","DARRANG"
"303","GOLAGHAT"
"304","NALBARI"
"305","MON"
"306","BARPETA"
"307","TUENSANG"
"308","MOKOKCHUNG"
"309","BONGAIGAON"
"310","NAGAON"
"311","KARBI ANGLONG"
"312","MARIGAON"
"313","WOKHA"
"314","KAMRUP"
"315","ZUNHEBOTO"
"316","GOALPARA"
"318","RIBOHI"
"319","EAST GARO HILLS"
"320","KOHIMA"
"322","PHEK"
"323","WEST KHASI HILLS"
"324","NORTH CACHAR HILLS"
"325","EAST KHASI HILLS"
"326","JAINTIA HILLS"
"327","UKHRUL"
"328","SOUTH GARO HILLS"
"329","TAMENGLONG"
"330","CACHAR"
"331","IMPHAL EAST"
"332","DIBANG VALLEY"
"333","LOWER DIBANG VALLEY"
"334","LOHIT"
"335","ANJAW"
"336","TINSUKIA"
"337","CHANGLANG"
"338","TIRAP"
"339","KACHCHH"
"351","JAMNAGAR"
"378","PORBANDAR"
"380","JUNAGADH"
"382","BANAS KANTHA"
"383","SABAR KANTHA"
"384","MANDSAUR"
"385","MAHESANA"
"386","BANSWARA"
"387","PATAN"
"388","DUNGARPUR"
"389","RATLAM"
"390","SURENDRANAGAR"
"391","AHMADABAD"
"392","PANCHTALUKS"
"393","DAHOD"
"395","GANDHINAGAR"
"396","JHABUA"
"397","RAJKOT"
"398","KHEDA"
"403","VADODARA"
"405","ANAND"
"410","BHAVNAGAR"
"413","BHARUCH"
"414","DHAR"
"418","BARWANI"
"422","AMRELI"
"424","NANDURBAR"
"426","NARMADA"
"440","DHULE"
"445","SURAT"
"469","NAVSARI"
"471","THE DANGS"
"480","DIU"
"483","VALSAD"
"488","NASHIK"
"489","JALGAON"
"490","DAMAN"
"492","THANE"
"493","DADRA & NAGAR HAVELI"
"496","JHALAWAR"
"497","SAGAR"
"498","VIDISHA"
"499","RAJGARH"
"500","SHAJAPUR"
"501","DAMOH"
"502","BHOPAL"
"503","KATNI"
"504","SEHORE"
"505","RAISEN"
"506","JABALPUR"
"507","UJJAIN"
"508","NARSIMHAPUR"
"509","DEWAS"
"510","HOSHANGABAD"
"511","INDORE"
"512","SEONI"
"513","CHHINDWARA"
"514","HARDA"
"515","MANDLA"
"516","BETUL"
"517","WEST NIMAR"
"518","EAST NIMAR"
"519","AMRAVATI"
"521","BALAGHAT"
"522","NAGPUR"
"523","BURHANPUR"
"524","GONDIYA"
"525","BHANDARA"
"526","BULDANA"
"527","AKOLA"
"528","WARDHA"
"529","GARHCHIROLI"
"530","CHANDRAPUR"
"531","JALNA"
"532","YAVATMAL"
"533","HINGOLI"
"535","SONBHADRA"
"536","SIDHI"
"537","PALAMU"
"538","GARHWA"
"539","CHATRA"
"542","SHAHDOL"
"543","UMARIA"
"544","SURGUJA"
"545","LATEHAR"
"546","KOREA"
"547","RANCHI"
"548","LOHARDAGA"
"549","GUMLA"
"550","ANUPPUR"
"551","DINDORI"
"553","KORBA"
"554","SIMDEGA"
"555","JASHPUR"
"556","RAIGARH"
"557","SUNDARGARH"
"558","KAWARDHA"
"560","PASHCHIMI SINGHBHUM"
"561","JANJGIR CHAMPA"
"562","DURG"
"563","JHARSUGUDA"
"564","SAMBALPUR"
"565","RAIPUR"
"566","RAJ NANDGAON"
"567","DEOGARH"
"568","BARAGARH"
"569","ANUGUL"
"570","MAHASAMUND"
"571","DHENKANAL"
"572","SONAPUR"
"573","DHAMTARI"
"574","NUAPARHA"
"575","BALANGIR"
"577","BAUDA"
"578","CUTTACK"
"579","NAYAGARH"
"580","PHULABANI (KANDHAMAL)"
"581","KANKER"
"582","GANJAM"
"583","KALAHANDI"
"584","BASTAR"
"586","NABARANGAPUR"
"588","MURSHIDABAD"
"589","GIRIDIH"
"590","PAKUR"
"591","DUMKA"
"592","DEVGHAR"
"593","KODARMA"
"594","BIRBHUM"
"595","NADIA"
"596","HAZARIBAG"
"598","JAMTARA"
"599","DHANBAD"
"600","BOKARO"
"601","BARDDHAMAN"
"602","PURULIYA"
"603","NORTH 24 PARGANAS"
"604","BANKURA"
"605","SARAIKELA"
"606","HUGLI"
"607","PASHCHIM MEDINIPUR"
"608","PURBI SINGHBHUM"
"609","HAORA"
"610","KOLKATA"
"611","SOUTH 24 PARGANAS"
"612","MAYURBHANJ"
"613","PURBA MEDINIPUR"
"614","KENDUJHAR"
"625","BALESHWAR"
"674","BHADRAK"
"676","JAJAPUR"
"679","KENDRAPARHA"
"688","JAGATSINGHAPUR"
"690","PURI"
"693","SENAPATI"
"694","KARIMGANJ"
"696","THOUBAL"
"697","CHANDEL"
"698","BISHNUPUR"
"699","CHURACHANDPUR"
"700","HAILAKANDI"
"701","AIZAWL"
"702","KOLASIB"
"703","MAMIT"
"704","NORTH TRIPURA"
"705","DHALAI"
"706","CHAMPHAI"
"707","WEST TRIPURA"
"708","SOUTH TRIPURA"
"709","LUNGLEI"
"710","SERCHHIP"
"711","SAIHA"
"712","LAWANGTLAI"
